SEED	BIGG	KEGG	byocyc	name
rxn00247_c0	PPCK 	R00341	['META:PEPCARBOXYKIN-RXN.c', 'META:PEPCARBOXYKIN-RXN']	"ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)_c0"
rxn05625_c0	['NO2t2r', 'NO2t2', 'NO2t2rpp', 'NO2t2ir']	NULL	NULL	nitrite transport in via proton symport, reversible_c0
rxn02342_c0	NULL	R03270	NULL	R03270_c0
rxn10311_c0	NULL	NULL	NULL	anteisoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted_c0
rxn01452_c0	NULL	R01976	['META:3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN.c', 'META:3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN']	(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase_c0
rxn00022_c0	['YGR287C', 'MAL32', 'MAL12', 'FSP2_1', 'YJL216C', 'YIL172C', 'MALT']	['R06084', 'R00028']	NULL	maltose glucohydrolase_c0
rxn00973_c0	['ACO1', 'ACONTm', 'YJL200C', 'ACONT']	R01324	NULL	citrate hydroxymutase_c0
rxn03239_c0	['HACD7p', 'HACD7i', 'HACD7']	R04737	META:RXN-14271	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase_c0
rxn03120_c0	NULL	R04526	['META:FLAVONE-APIOSYLTRANSFERASE-RXN', 'META:FLAVONE-APIOSYLTRANSFERASE-RXN.c']	UDP-apiose:apigenin 7-O-beta-D-glucoside 2''-O-beta-D-apiofuranosyltransferase_c0
rxn11962_c0	NULL	R02670	NULL	R02670_c0
rxn00322_c0	LYSDC	R00462	['META:LYSDECARBOX-RXN.d', 'META:LYSDECARBOX-RXN.c', 'META:LYSDECARBOX-RXN']	L-lysine carboxy-lyase (cadaverine-forming)_c0
rxn05457_c0	FAS1_6_c	NULL	NULL	[Acyl-carrier-protein] acetyltransferase_c0
rxn10278_c0	NULL	NULL	NULL	anteisopentadecanoyl-UDP-glucosyltransferase (diglucosyl)_c0
rxn04271_c0	NULL	R06408	NULL	trans-2-Methyl-5-isopropylhexa-2,5-dienal dehydrogenase_c0
rxn13783_c0	NULL	NULL	NULL	DNA replication_c0
rxn10118_c0	['HYD1', 'HYD1pp']	NULL	NULL	hydrogenase (ubiquinone-8: 2 protons) (periplasm)_c0
rxn05392_c0	NULL	NULL	NULL	7-methyl-octanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0
rxn08934_c0	MLTG3	NULL	META:RXN-14281	Maltodextrin glucosidase (maltopentaose)_c0
rxn05353_c0	EAR40y	R04430	NULL	Butyryl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing and thioester-hydrolysing)_c0
rxn00199_c0	['IDP2_2', 'IDP1_2', 'IDP3_2']	R00268	['META:RXN-8642.m', 'META:RXN-8642', 'META:RXN-8642.c', 'META:RXN-8642.x']	oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)_c0
rxn01358_c0	['PNP1_6', 'PUNP5']	R01863	['META:INOPHOSPHOR-RXN', 'META:INOPHOSPHOR-RXN.c']	inosine:phosphate alpha-D-ribosyltransferase_c0
rxn10231_c0	NULL	NULL	NULL	isohexadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase_c0
rxn01867_c0	['BETALDHx', 'BADH']	R02565	['META:BADH-RXN.c', 'META:BADH-RXN.p', 'META:BADH-RXN.d', 'META:BADH-RXN', 'META:BADH-RXN.x']	p-cumic alcohol:NAD+ oxidoreductase_c0
rxn03086_c0	APTA1i	R04467	['META:RXN-4822', 'META:RXN-4822.c']	R04467_c0
rxn12637_c0	['AMPEP13', 'MEAMP1(gly-asp)']	NULL	['META:RXN0-6987', 'META:RXN0-6987.c']	RXN0-6987.c_c0
rxn01219_c0	['U17', 'CYTK2']	R01665	['META:RXN-11831.c', 'META:RXN-7913.c', 'META:RXN-7913']	ATP:dCMP phosphotransferase_c0
rxn05958_c0	RHCCE	NULL	['META:RIBOSYLHOMOCYSTEINASE-RXN.c', 'META:RIBOSYLHOMOCYSTEINASE-RXN']	S-ribosylhomocysteine lyase_c0
rxn00519_c0	NULL	R00726	['META:RXN-12481.c', 'META:RXN-12481']	"ITP:oxaloacetate carboxy-lyase (adding ITP; phosphoenolpyruvate-forming)_c0"
rxn00258_c0	NULL	R00353	NULL	Malonyl-CoA:pyruvate carboxytransferase_c0
rxn00800_c0	['ADE13_2', 'ADSL1r', 'ADSL1']	R01083	['META:AMPSYN-RXN', 'META:AMPSYN-RXN.c']	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)_c0
rxn08333_c0	DHNAOT4	NULL	META:DMK-RXN.c	1,4-dihydroxy-2-naphthoate octaprenyltransferase_c0
rxn01705_c0	NULL	R02371	NULL	dCTP:cytidine 5'-phosphotransferase_c0
rxn09177_c0	['U92', 'PPNCL2']	R04231	['META:P-PANTOCYSLIG-RXN.c', 'META:P-PANTOCYSLIG-RXN']	(R)-4'-Phosphopantothenate:L-cysteine ligase_c0
rxn00211_c0	['UDPGDi', 'UDPGD', 'UDPGDr']	R00286	['META:UGD-RXN.c.metaexp.CPD-12575', 'META:UGD-RXN']	UDP-glucose:NAD+ 6-oxidoreductase_c0
rxn00179_c0	GLU5K	R00239	['META:GLUTKIN-RXN', 'META:GLUTKIN-RXN.c']	ATP:L-glutamate 5-phosphotransferase_c0
rxn01210_c0	NULL	R01654	NULL	10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)_c0
rxn00192_c0	['ACGSm', 'ACGS', 'ECM40_1']	R00259	['META:N-ACETYLTRANSFER-RXN.c', 'META:N-ACETYLTRANSFER-RXN']	acetyl-CoA:L-glutamate N-acetyltransferase_c0
rxn01218_c0	['NTD3', 'U28', 'NTD3pp']	R01664	['META:RXN0-5292', 'META:RXN0-5292.c']	2'-Deoxycytidine 5'-monophosphate phosphohydrolase_c0
rxn05367_c0	NULL	NULL	NULL	6-methyl-octanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0
rxn05407_c0	NULL	NULL	NULL	15-methyl-trans-hexa-dec-2-enoyl-ACP:NADP+ oxidoreductase (A-specific)_c0
rxn02898_c0	['NPHSr', 'NPHS']	R04150	NULL	O-Succinylbenzoyl-CoA 1,4-dihydroxy-2-naphthoate-lyase_c0
rxn05654_c0	['SUCCt2r', 'SUCCt2b', 'U205', 'SUCCt6']	NULL	NULL	Transport of succinate, extracellular_c0
rxn11631_c0	NULL	R04904	NULL	5-hydroxyindoleacetaldehyde:oxygen oxidoreductase_c0
rxn00545_c0	['PFK', 'PFK1_1', 'PFK2']	R00756	NULL	ATP:D-fructose-6-phosphate 1-phosphotransferase_c0
rxn00771_c0	NULL	R01050	['META:PHOSPHORIBOKINASE-RXN', 'META:PHOSPHORIBOKINASE-RXN.c']	ATP:D-ribose-5-phosphate 1-phosphotransferase_c0
rxn05614_c0	METSRabc	NULL	NULL	L-methionine R-oxide transport via ABC system_c0
rxn00501_c0	MMSAD3	R00705	['META:RXN-2902.c', 'META:RXN-2902.m', 'META:RXN-2902', 'META:RXN-9958.c.metaexp.NAD_NADH']	3-Oxopropanoate:NAD+ oxidoreductase (decarboxylating, CoA-acetylating)_c0
rxn10344_c0	NULL	NULL	NULL	Lead (Pb+2) ABC transporter_c0
rxn01547_c0	NULL	R02145	META:GUANOSINE-DEAMINASE-RXN.c	Guanosine aminohydrolase_c0
rxn10336_c0	NULL	NULL	NULL	stearoyl-cardiolipin synthase_c0
rxn02320_c0	['HSTPTr', 'HSTPT', 'HIS5']	R03243	['META:HISTAMINOTRANS-RXN.c', 'META:HISTAMINOTRANS-RXN']	5-Amino-2-oxopentanoate:2-oxoglutarate aminotransferase_c0
rxn10287_c0	NULL	NULL	NULL	anteisopentadecanoyl-UDP-glucosyltransferase (monoglucosyl)_c0
rxn06240_c0	NULL	R02770	NULL	N-Acyl-D-glucosamine 6-phosphate 2-epimerase_c0
rxn03384_c0	UPPDC2	R04972	['META:RXN-10642.c', 'META:RXN-10642']	Uroporphyrinogen I carboxy-lyase_c0
rxn01405_c0	NULL	R01919	['META:2.5.1.45-RXN', 'META:2.5.1.45-RXN.c']	Spermidine:putrescine 4-aminobutyltransferase (propane-1,3-diamine-forming)_c0
rxn02504_c0	['DHNPA', 'DHNPAm']	R03504	['META:H2NEOPTERINALDOL-RXN', 'META:H2NEOPTERINALDOL-RXN.c']	2-amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine glycolaldehyde-lyase_c0
rxn04996_c0	NULL	R07219	['META:RXN0-884.d.metaexp.NADP_NADPH', 'META:RXN0-884.c.metaexp.NADP_NADPH']	dimethyallyl diphosphate:NADP+ oxidoreductase_c0
rxn00262_c0	ASPO7	R00357	NULL	L-Aspartic acid:oxygen oxidoreductase (deaminating)_c0
rxn05404_c0	NULL	NULL	NULL	13-methyl-tetra-decanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0
rxn02796_c0	NULL	R03977	['META:CHENODEOXYCHOLOYLTAURINE-HYDROLASE-RXN.c', 'META:CHENODEOXYCHOLOYLTAURINE-HYDROLASE-RXN']	chenodeoxycholoyltaurine amidohydrolase_c0
rxn10262_c0	NULL	NULL	NULL	isopentadecanoyl-CDPdiacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase_c0
rxn10126_c0	SUCD4	NULL	NULL	succinate dehyrdogenase_c0
rxn10209_c0	NULL	NULL	NULL	anteisopentadecanoyl-glycerol-3-phosphate O-acyltransferase_c0
rxn04048_c0	['CPC4MT', 'COPREC4MT']	R05810	META:RXN-8762.c	cobalt-precorrin-4 methyltransferase_c0
rxn08084_c0	AGPAT140	NULL	NULL	1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0)_c0
rxn10225_c0	NULL	NULL	NULL	isohexadecanoyl-phosphatidate cytidylyltransferase_c0
rxn03463_c0	NULL	R05113	NULL	R05113_c0
rxn01486_c0	FRTT	R02061	['META:FARNESYLTRANSTRANSFERASE-RXN.d', 'META:FARNESYLTRANSTRANSFERASE-RXN', 'META:FARNESYLTRANSTRANSFERASE-RXN.m', 'META:FARNESYLTRANSTRANSFERASE-RXN.r', 'META:FARNESYLTRANSTRANSFERASE-RXN.c']	trans,trans-Farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase_c0
rxn00898_c0	NULL	R01209	NULL	2,3-Dihydroxy-3-methylbutanoate hydro-lyase_c0
rxn05444_c0	NULL	NULL	NULL	15-methyl-trans-hexa-dec-2-enoyl-ACP:NAD+ oxidoreductase (A-specific)_c0
rxn10205_c0	NULL	NULL	NULL	isoheptadecanoyl-glycerol-3-phosphate O-acyltransferase_c0
rxn05040_c0	['U79', 'DB4PS']	R07281	['META:DIOHBUTANONEPSYN-RXN', 'META:DIOHBUTANONEPSYN-RXN.c']	D-ribulose 5-phosphate formate-lyase (L-3,4-dihydroxybutan-2-one 4-phosphate-forming)_c0
rxn05400_c0	NULL	NULL	NULL	11-methyl-dodecanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0
rxn03030_c0	APATi	R04364	['META:2.3.1.89-RXN', 'META:2.3.1.89-RXN.c']	Acetyl-CoA:L-2,3,4,5-tetrahydrodipicolinate N2-acetyltransferase_c0
rxn01636_c0	NULL	R02282	['META:GLUTAMATE-N-ACETYLTRANSFERASE-RXN.c', 'META:GLUTAMATE-N-ACETYLTRANSFERASE-RXN']	N2-Acetyl-L-ornithine:L-glutamate N-acetyltransferase_c0
rxn02090_c0	NULL	R02922	META:CREATININE-DEAMINASE-RXN.c	Creatinine iminohydrolase_c0
rxn05505_c0	NULL	NULL	NULL	arsenobetaine transport in via proton symport_c0
rxn08556_c0	G3PD5	NULL	['META:RXN0-5258.p.metaexp.CPD-9956_UBIQUINONE-8', 'META:GLYC3PDEHYDROG-RXN.c', 'META:RXN0-5258.c.metaexp.CPD-9956_UBIQUINONE-8', 'META:RXN0-5260.m.metaexp.CPD-9956_UBIQUINONE-8', 'META:RXN0-5260.p.metaexp.CPD-9956_UBIQUINONE-8', 'META:GLYC3PDEHYDROG-RXN', 'META:RXN0-5260.c.metaexp.CPD-9956_UBIQUINONE-8']	sn-glycerol 3-phosphate:ubiquinone-8 oxidoreductase_c0
rxn01843_c0	AMD2_2	R02540	META:RXN-12492.c	2-phenylacetamide amidohydrolase_c0
rxn01750_c0	CDPGHL	R02426	['META:CDP-GLUCOSE-46-DEHYDRATASE-RXN.c', 'META:CDP-GLUCOSE-46-DEHYDRATASE-RXN']	CDPglucose 4,6-hydro-lyase_c0
rxn02988_c0	['QULNS', 'U100']	R04292	['META:QUINOLINATE-SYNTHA-RXN.d', 'META:QUINOLINATE-SYNTHA-RXN.c', 'META:QUINOLINATE-SYNTHA-RXN']	glycerone phosphate:iminosuccinate alkyltransferase (cyclizing)_c0
rxn01021_c0	MTAN	R01401	['META:METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN', 'META:METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN.c']	Methylthioadenosine methylthioribohydrolase_c0
rxn00165_c0	['SER_AL', 'CHA1_2', 'YIL167W']	R00220	META:4.3.1.17-RXN.c	L-serine ammonia-lyase_c0
rxn10228_c0	NULL	NULL	NULL	isotetradecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase_c0
rxn05814_c0	NULL	R00334	NULL	ATP:nucleoside-phosphate phosphotransferase_c0
rxn05542_c0	DIPEPabc4	NULL	META:3.6.3.23-RXN.ce.metaexp.ALA-GLY_ALA-GLY	oligopeptide-transporting ATPase_c0
rxn00539_c0	NULL	R00749	META:ETHAMLY-RXN.c	ethanolamine ammonia-lyase (acetaldehyde-forming)_c0
rxn00678_c0	NULL	R00930	['META:2.1.3.1-RXN.c', 'META:2.1.3.1-RXN']	(S)-2-Methyl-3-oxopropanoyl-CoA:pyruvate carboxyltransferase_c0
rxn03667_c0	NULL	R05366	NULL	2-Hydroxy-6-oxo-octa-2,4-dienoate acylhydrolase_c0
rxn00001_c0	['PPA_1', 'IPP1', 'PPAm', 'PPA']	R00004	['META:INORGPYROPHOSPHAT-RXN', 'META:INORGPYROPHOSPHAT-RXN.c']	diphosphate phosphohydrolase_c0
rxn01331_c0	E4PD	R01825	['META:ERYTH4PDEHYDROG-RXN', 'META:ERYTH4PDEHYDROG-RXN.c']	D-erythrose 4-phosphate:NAD+ oxidoreductase_c0
rxn05545_c0	DIPEPabc7	NULL	NULL	Dipeptide transport via ABC system (ala-thr)_c0
rxn00671_c0	['MMSAD1', 'MMTSAO']	R00922	NULL	2-Methyl-3-oxopropanoate:NAD+ oxidoreductase (CoA-propanoylating)_c0
rxn11268_c0	NULL	NULL	NULL	phosphate ABC transporter permease protein_c0
rxn00710_c0	['URA3', 'OMPDC']	R00965	['META:OROTPDECARB-RXN', 'META:OROTPDECARB-RXN.c']	orotidine-5'-phosphate carboxy-lyase (UMP-forming)_c0
rxn01114_c0	['RBK_Dr', 'RBK_D']	R01526	['META:D-RIBULOKIN-RXN', 'META:D-RIBULOKIN-RXN.c', 'META:RIBULOKIN-RXN.c.metaexp.D-RIBULOSE_RIBULOSE-5P']	ATP:D-ribulose 5-phosphotransferase_c0
rxn02305_c0	['THI6_2', 'TMPPP']	R03223	['META:THI-P-SYN-RXN.c', 'META:THI-P-SYN-RXN']	2-methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate:4-methyl-5-(2-phosphoethyl)-thiazole 2-methyl-4-aminopyridine-5-methenyltransferase_c0
rxn00470_c0	or NDC	R00670	['META:ORNDECARBOX-RXN.c', 'META:ORNDECARBOX-RXN']	L-ornithine carboxy-lyase (putrescine-forming)_c0
rxn02885_c0	['HHDDI', 'R04134']	R04134	['META:RXN1K-87.c', 'META:RXN1K-87']	R04134_c0
rxn00910_c0	['MET12', 'MET13', 'MTHFR3', 'MTHFR1']	R01224	NULL	5-methyltetrahydrofolate:NADP+ oxidoreductase_c0
rxn00953_c0	CYSTS	R01289	NULL	L-Serine hydro-lyase (adding homocysteine)_c0
rxn11944_c0	NULL	NULL	NULL	Methyltransferase_c0
rxn01129_c0	NULL	R01549	NULL	dATP:uridine 5'-phosphotransferase_c0
rxn08296_c0	DAGK141	NULL	NULL	diacylglycerol kinase (n-C14:1)_c0
rxn05541_c0	DIPEPabc3	NULL	NULL	Dipeptide transport via ABC system (ala-glu)_c0
rxn05647_c0	SALCpts	NULL	NULL	salicin transport via PEP:Pyr PTS_c0
rxn01297_c0	['XANDa', 'HXAND']	R01768	['META:RXN-7682.c', 'META:RXN-7682']	hypoxanthine:NAD+ oxidoreductase_c0
rxn01276_c0	NULL	R01738	META:GLUCONATE-5-DEHYDROGENASE-RXN.c.metaexp.NAD_NADH	D-Gluconate:NAD+ 5-oxidoreductase_c0
rxn10254_c0	NULL	NULL	NULL	anteisoheptadecanoyl-Diacylglycerol kinase_c0
rxn05459_c0	NULL	NULL	NULL	stearyl-ACP:[acyl-carrier-protein] transferase_c0
rxn05453_c0	NULL	NULL	NULL	13-methyl-tetra-decanoyl-ACP:[acyl-carrier-protein] transferase_c0
rxn01682_c0	TRPS3r	R02340	['META:RXN0-2381.c', 'META:RXN0-2381']	(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate D-glyceraldehyde-3-phosphate-lyase_c0
rxn00479_c0	NULL	R00679	['META:TRYPTOPHAN-2-MONOOXYGENASE-RXN', 'META:TRYPTOPHAN-2-MONOOXYGENASE-RXN.c']	L-tryptophan:oxygen 2-oxidoreductase (decarboxylating)_c0
rxn01048_c0	NULL	R01440	['META:FORMALDEHYDE-TRANSKETOLASE-RXN.x', 'META:FORMALDEHYDE-TRANSKETOLASE-RXN', 'META:FORMALDEHYDE-TRANSKETOLASE-RXN.c']	D-Xylulose-5-phosphate:formaldehyde glycolaldehydetransferase_c0
rxn01604_c0	NULL	R02238	NULL	Formate:dihydrofolate ligase (ADP-forming)_c0
rxn06493_c0	['GCCcm', 'GCCc']	R03815	NULL	dihydrolipoylprotein:NAD+ oxidoreductase_c0
rxn10214_c0	NULL	NULL	NULL	isoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase_c0
rxn12846_c0	NULL	NULL	NULL	Gly-Phe aminopeptidase_c0
rxn00337_c0	['ASPKi', 'ASPK', 'HOM3']	R00480	['META:ASPARTATEKIN-RXN.c', 'META:ASPARTATEKIN-RXN']	ATP:L-aspartate 4-phosphotransferase_c0
rxn01231_c0	SALADC2	R01682	['META:CYSTAUR-RXN', 'META:CYSTAUR-RXN.c']	3-Sulfo-L-alanine carboxy-lyase (taurine-forming)_c0
rxn05221_c0	['PROt4', 'PROt4pp', 'PROt4r']	NULL	META:TRANS-RXN-118	Na+/Proline-L symporter_c0
rxn08308_c0	DASYN141	NULL	NULL	CDP-diacylglycerol synthetase (n-C14:1)_c0
rxn01930_c0	HKYNH	R02668	NULL	3-Hydroxy-L-kynurenine hydrolase_c0
rxn00208_c0	['PDX3_1', 'PDX3_5']	R00277	META:PMPOXI-RXN.c	Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating)_c0
rxn02812_c0	NULL	R04002	['META:BRANCHED-CHAIN-FATTY-ACID-KINASE-RXN.c', 'META:BRANCHED-CHAIN-FATTY-ACID-KINASE-RXN']	ATP:branched-chain-fatty-acid 1-phosphotransferase_c0
rxn11592_c0	NULL	R04085	NULL	Aldehyde:oxygen oxidoreductase_c0
rxn05434_c0	NULL	NULL	NULL	6-methyl-trans-oct-2-enoyl-ACP:NAD+ oxidoreductase (A-specific)_c0
rxn05346_c0	['MCMAT2', 'CEM1_2', '3OAS60', 'FAS2_2_1']	R04952	['META:RXN-9516', 'META:RXN-9516.m', 'META:RXN-9516.c']	butyryl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0
rxn00867_c0	['HISD1r', 'HISD']	R01168	META:HISTIDINE-AMMONIA-LYASE-RXN.c	L-histidine ammonia-lyase (urocanate-forming)_c0
rxn07680_c0	NULL	R07890	NULL	R07890_c0
rxn03248_c0	['KAT3', 'ACACT3r']	R04747	META:RXN-14277	Hexanoyl-CoA:acetyl-CoA C-acyltransferase_c0
rxn05516_c0	['CD2abcpp', 'CD2abc1']	NULL	['META:3.6.3.3-RXN', 'META:3.6.3.46-RXN.cv', 'META:3.6.3.3-RXN.ce']	Cadmium-translocating P-type ATPase_c0
rxn05142_c0	NULL	R07441	NULL	sinapoyl aldehyde:NAD oxidoreductase_c0
rxn05733_c0	AHSERL4	R04859	NULL	O3-acetyl-L-serine:thiosulfate 2-amino-2-carboxyethyltransferase (reducing, L-cysteine-forming)_c0
rxn00827_c0	NULL	R01117	NULL	CTP:N-acetylneuraminate cytidylyltransferase_c0
rxn09206_c0	PSSA140	NULL	NULL	Phosphatidylserine syntase (n-C14:0)_c0
rxn12158_c0	NULL	R08515	NULL	ADP:alpha-D-aldose-1-phosphate adenylyltransferase_c0
rxn01134_c0	['MTI', 'TREHS']	['R01557', 'R06218']	NULL	Maltose alpha-D-glucosylmutase_c0
rxn02376_c0	NULL	R03316	NULL	R03316_c0
rxn05778_c0	NULL	R00145	NULL	alpha-amino acid:NAD+ oxidoreductase (deaminating)_c0
rxn10147_c0	['CBL1abc', 'CBL1abcpp']	NULL	META:3.6.3.33-RXN.ce.metaexp.COB-I-ALAMIN_COB-I-ALAMIN	ABC-5-RXN.cp_c0
rxn09209_c0	PSSA161	NULL	NULL	Phosphatidylserine syntase (n-C16:1)_c0
rxn12512_c0	PPNCL3	R04230	META:RXN66-555	(R)-4'-Phosphopantothenate:L-cysteine ligase_c0
rxn08669_c0	['GPDDA4', 'GPDDA4pp']	NULL	META:RXN-14073	Glycerophosphodiester phosphodiesterase_c0
rxn00902_c0	['LEU4', 'IPPS', 'IPPSm']	R01213	['META:2-ISOPROPYLMALATESYN-RXN.c', 'META:2-ISOPROPYLMALATESYN-RXN']	acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)_c0
rxn00015_c0	NULL	R00018	META:2.5.1.44-RXN.c	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)_c0
rxn00658_c0	NULL	R00909	['META:N-ACETYL-BETA-ALANINE-DEACETYLASE-RXN.c', 'META:N-ACETYL-BETA-ALANINE-DEACETYLASE-RXN']	N-Acetyl-beta-alanine amidohydrolase_c0
rxn06672_c0	BTNC	R04385	NULL	biotin-carboxyl-carrier-protein:carbon-dioxide ligase (ADP-forming)_c0
rxn02961_c0	NULL	R04247	NULL	CTP:ethanolamine-phosphate cytidylyltransferase_c0
rxn00649_c0	['CYSS', 'YGR012W', 'CYSSr']	R00897	['META:ACSERLY-RXN.c', 'META:ACSERLY-RXN.m', 'META:ACSERLY-RXN', 'META:ACSERLY-RXN.d']	O3-acetyl-L-serine:hydrogen-sulfide 2-amino-2-carboxyethyltransferase_c0
rxn06633_c0	NULL	R04273	['META:PEPTIDYLPROLYL-ISOMERASE-RXN.p', 'META:PEPTIDYLPROLYL-ISOMERASE-RXN.c', 'META:PEPTIDYLPROLYL-ISOMERASE-RXN']	Peptidylproline cis-trans-isomerase_c0
rxn01739_c0	['SHKK', 'ARO1_4']	R02412	['META:SHIKIMATE-KINASE-RXN', 'META:SHIKIMATE-KINASE-RXN.c']	ATP:shikimate 3-phosphotransferase_c0
rxn02400_c0	NULL	R03346	META:RXN-14227	Nicotinate D-ribonucleotide phosphohydrolase_c0
